Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,3,32,1,7.33,40.66
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
07:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,2,100,0,16,116
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,12,100,12,100.00,2,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,3,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,57,100,57,100.00,5,0,0,0,0
13:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,4,0,0,0,0
14:00,0,0,3,66.66,0,0,0,0,0,0,0,0,11,100,14,92.85,4,37.66,0,36.33,74
15:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,4,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,5,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,5,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,11,100,11,100.00,4,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,4,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
23:00,0,0,2,100,0,0,0,0,0,0,0,0,5,100,7,100.00,3,81.5,1.5,261.5,344.5
